code,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9
aaa,1963.0,356.9090909090909,,,,,,,
aae,2732.4999999999995,1366.2499999999998,910.8333333333334,364.3333333333333,,,,,
abg,2741.6666666666665,822.5,342.7083333333333,249.24242424242425,99.09638554216868,,,,
abk,3164.6666666666665,365.1538461538461,,,,,,,
aia,2068.333333333333,443.2142857142858,365.0,,,,,,
ale,356.25,178.125,,,,,,,
ams,1823.25,364.65,,,,,,,
api,3606.0,1442.4,721.2,450.75,327.8181818181818,,,,
aqu,1214.6666666666667,520.5714285714287,364.4,,,,,,
asc,2190.333333333333,938.7142857142856,657.1000000000001,505.4615384615385,328.55000000000007,262.84,211.9677419354839,193.26470588235296,164.27500000000003
asp,2674.0000000000005,,,,,,,,
bdv,3270.0,1401.428571428571,981.0,408.75,327.0,,,,
bel,3145.6666666666665,1887.4,1179.625,857.9090909090909,,,,,
bfe,1941.9999999999995,,,,,,,,
bfo,948.8000000000002,,,,,,,,
blc,3373.333333333333,1445.7142857142858,595.2941176470588,,,,,,
bmt,2793.0000000000005,,,,,,,,
bng,906.8333333333334,680.125,544.1,388.6428571428572,320.0588235294117,201.5185185185185,,,
bou,5079.0,,,,,,,,
box,1231.0,362.0588235294117,,,,,,,
brw,3398.0,926.7272727272726,679.5999999999999,392.07692307692304,,,,,
bsl,3133.3333333333326,940.0,,,,,,,
cbb,3386.6666666666674,2032.0,564.4444444444446,376.2962962962963,350.3448275862069,181.42857142857144,120.95238095238096,,
cki,938.6666666666666,469.3333333333333,281.6,201.1428571428572,,,,,
clf,2643.0,1510.2857142857142,660.75,459.6521739130434,364.551724137931,,,,
cmo,3148.0,393.5,,,,,,,
cnb,3402.333333333333,1458.1428571428569,785.1538461538461,443.7826086956521,364.5357142857142,,,,
cpl,607.6666666666666,,,,,,,,
csy,1006.0,447.1111111111111,,,,,,,
cta,2548.6666666666665,,,,,,,,
czt,364.9130434782609,,,,,,,,
dlr,1907.3333333333333,1144.4,357.625,,,,,,
dlt,1233.0,411.0,,,,,,,
dou,2191.0,365.1666666666666,,,,,,,
drv,3622.5,1449.0,362.25,181.125,,,,,
dur,363.6,227.25,181.8,,,,,,
ebr,2309.0,364.578947368421,,,,,,,
esk,5272.5,1506.428571428571,958.6363636363636,,,,,,
eyr,3277.333333333333,,,,,,,,
fcc,3505.3333333333326,876.3333333333331,362.6206896551724,,,,,,
frd,3371.333333333333,,,,,,,,
frn,4889.999999999999,362.2222222222222,,,,,,,
fur,2904.0,1089.0,871.2,622.2857142857143,363.0,335.07692307692304,,,
gan,727.0000000000001,,,,,,,,
gck,1274.5000000000002,364.1428571428572,,,,,,,
gdh,4737.0,,,,,,,,
gln,644.6666666666666,175.81818181818184,,,,,,,
gna,3260.5,1630.25,724.5555555555555,543.4166666666666,434.73333333333335,362.27777777777777,,,
gng,1639.5,546.5,409.875,327.9,192.8823529411765,,,,
gua,3264.0,1224.0,,,,,,,
gui,2548.333333333333,,,,,,,,
gzh,727.6666666666666,,,,,,,,
had,2646.0,1764.0,962.181818181818,814.1538461538461,,,,,
hbk,2660.9999999999995,1140.428571428571,362.8636363636363,,,,,,
her,3395.333333333333,1697.6666666666667,1018.6,727.5714285714286,,,,,
hlp,3273.0,1309.2,503.5384615384616,,,,,,
hon,5049.0,,,,,,,,
hrb,2184.0,,,,,,,,
hrn,688.8,362.5263157894736,,,,,,,
hua,988.1428571428572,691.7,461.1333333333333,364.0526315789474,,,,,
hyb,1203.0,,,,,,,,
ipm,945.0,315.0,218.0769230769231,177.1875,149.21052631578948,118.125,,,
iqa,2899.9999999999995,362.5,,,,,,,
irt,2638.0,989.25,565.2857142857143,376.8571428571429,316.56,184.04651162790697,,,
jco,1277.5,212.91666666666663,,,,,,,
kak,3501.0,,,,,,,,
kdu,2542.333333333333,,,,,,,,
kep,965.3333333333334,144.8,,,,,,,
khb,974.0000000000002,,,,,,,,
kiv,1333.0,571.2857142857143,363.5454545454546,249.9375,,,,,
kmh,1448.6666666666663,724.3333333333333,289.7333333333333,,,,,,
kny,3590.5,1025.857142857143,598.4166666666667,359.05,175.14634146341464,,,,
kou,4529.5,1811.8,,,,,,,
ler,3397.333333333333,,,,,,,,
lon,362.0,,,,,,,,
lov,1336.3333333333333,364.45454545454544,,,,,,,
lrm,2061.0,475.6153846153845,343.49999999999994,,,,,,
lvv,1444.5,361.125,,,,,,,
lzh,2227.333333333333,,,,,,,,
mab,2920.0,530.909090909091,417.1428571428572,,,,,,
maw,2912.5000000000005,448.0769230769232,364.06250000000006,,,,,,
mbo,4788.0,1915.2,870.5454545454546,684.0,504.0,187.76470588235296,,,
mcq,3642.5,1214.1666666666667,910.625,520.3571428571429,455.3125,364.25000000000006,251.20689655172416,,
mea,2620.2499999999995,361.41379310344826,,,,,,,
mgd,975.3333333333334,365.75,225.07692307692307,172.11764705882354,108.37037037037037,,,,
mid,546.0,,,,,,,,
mmb,5080.0,2540.0,635.0,390.7692307692308,362.8571428571428,338.6666666666667,,,
naq,2273.5,1515.6666666666667,1010.4444444444443,826.7272727272726,606.2666666666667,478.6315789473684,378.9166666666667,,
nck,3145.0,,,,,,,,
new,3379.6666666666665,1267.375,,,,,,,
ngk,4562.0,1824.8,364.96,,,,,,
nur,4740.0,861.8181818181818,364.61538461538464,,,,,,
nvs,354.88235294117646,,,,,,,,
ott,3503.333333333333,362.4137931034483,,,,,,,
paf,2675.0000000000005,,,,,,,,
pag,2530.5,1265.25,722.9999999999999,389.3076923076923,266.3684210526316,,,,
pbq,2860.0,1144.0,715.0,520.0,440.0,381.3333333333333,,,
peg,353.6666666666667,,,,,,,,
pet,1577.3333333333333,364.00000000000006,182.00000000000003,,,,,,
phu,4136.0,,,,,,,,
pil,971.6666666666666,364.375,,,,,,,
ppt,3189.6666666666665,1913.8,1196.125,736.0769230769231,598.0625,398.7083333333333,368.0384615384616,,
pst,3278.5,,,,,,,,
qsb,1433.0,573.2,409.4285714285714,238.8333333333333,,,,,
res,363.0689655172414,181.5344827586207,,,,,,,
sba,2787.333333333333,760.181818181818,380.090909090909,348.41666666666663,,,,,
sbl,730.5000000000001,292.2,194.8,,,,,,
sfs,1906.6666666666667,953.3333333333334,572.0,,,,,,
she,982.75,655.1666666666666,491.375,,,,,,
shu,2900.5,,,,,,,,
sit,3383.333333333333,,,,,,,,
sjg,4913.0,,,,,,,,
sod,2555.75,1460.428571428571,1022.3,425.9583333333333,365.1071428571428,182.55357142857144,,,
spt,4001.5,1600.6,1000.375,666.9166666666666,444.6111111111111,381.0952380952381,333.4583333333333,296.4074074074074,
stj,3513.0,363.4137931034483,,,,,,,
sua,2678.333333333333,,,,,,,,
tam,5075.5,375.962962962963,,,,,,,
tan,1665.6666666666667,356.92857142857144,,,,,,,
tdc,1704.5,378.77777777777777,,,,,,,
thl,5100.0,1133.3333333333333,680.0,364.28571428571433,,,,,
thy,2543.25,847.75,,,,,,,
trw,1438.0000000000002,359.50000000000006,,,,,,,
tsu,1827.3333333333333,685.25,,,,,,,
tuc,3147.6666666666665,1888.6,363.1923076923077,,,,,,
ups,1553.75,478.07692307692304,182.7941176470588,,,,,,
val,2063.0,884.1428571428572,618.9,,,,,,
vic,3498.6666666666665,2099.2000000000003,,,,,,,
vna,840.6666666666666,360.2857142857143,148.35294117647058,,,,,,
vos,844.0,211.0,,,,,,,
vss,3450.0,1725.0,1150.0,862.5,,,,,
wng,4924.5,,,,,,,,
yak,1638.0,819.0,364.00000000000006,204.75,172.42105263157893,142.43478260869566,121.33333333333331,86.21052631578947,68.25
ykc,4909.5,,,,,,,,
